NM_001001398	ENSDARG00000009351	ENSDART00000016591
NM_001002160	ENSDARG00000115372	ENSDART00000182332
NM_001002161	ENSDARG00000091678	ENSDART00000125690
NM_001002162	ENSDARG00000010432	ENSDART00000021060
NM_001002163	ENSDARG00000015978	ENSDART00000020000
NM_001002164	ENSDARG00000014222	ENSDART00000020344
NM_001002165	ENSDARG00000006712	ENSDART00000011025
NM_001002166	ENSDARG00000003098	ENSDART00000108508
NM_001002167	ENSDARG00000011076	ENSDART00000017535
NM_001002168	ENSDARG00000031954	ENSDART00000047444
NM_001002169	ENSDARG00000095908	ENSDART00000168560
NM_001002170	ENSDARG00000102878	ENSDART00000170012
NM_001002171	ENSDARG00000087573	ENSDART00000158411
NM_001002172	ENSDARG00000040732	ENSDART00000179786
NM_001002173	ENSDARG00000000796	ENSDART00000000876
NM_001002173	ENSDARG00000109473	ENSDART00000189913
NM_001002174	ENSDARG00000034174	ENSDART00000039536
NM_001002174	ENSDARG00000115754	ENSDART00000187843
NM_001002175	ENSDARG00000041729	ENSDART00000125691
NM_001002176	ENSDARG00000076225	ENSDART00000018939
NM_001002177	ENSDARG00000042336	ENSDART00000017619
NM_001002177	ENSDARG00000115253	ENSDART00000186938
NM_001002177	ENSDARG00000116322	ENSDART00000192329
NM_001002178	ENSDARG00000021287	ENSDART00000004065
NM_001002179	ENSDARG00000054122	ENSDART00000076265
NM_001002180	ENSDARG00000004115	ENSDART00000001159
NM_001002181	ENSDARG00000098646	ENSDART00000159594
NM_001002181	ENSDARG00000112356	ENSDART00000187874
NM_001002181	ENSDARG00000117060	ENSDART00000181042
NM_001002182	ENSDARG00000018980	ENSDART00000017307
NM_001002183	ENSDARG00000101457	ENSDART00000163810
NM_001002183	ENSDARG00000114480	ENSDART00000185063
NM_001002184	ENSDARG00000103483	ENSDART00000157619
NM_001002185	ENSDARG00000045302	ENSDART00000066625
NM_001002186	ENSDARG00000045706	ENSDART00000067190
NM_001002186	ENSDARG00000110620	ENSDART00000192267
NM_001002186	ENSDARG00000111048	ENSDART00000187906
NM_001002187	ENSDARG00000043997	ENSDART00000064596
NM_001002187	ENSDARG00000117195	ENSDART00000192170
NM_001002188	ENSDARG00000036846	ENSDART00000053494
NM_001002189	ENSDARG00000099677	ENSDART00000159525
NM_001002190	ENSDARG00000035810	ENSDART00000138953
NM_001002190	ENSDARG00000113601	ENSDART00000180170
NM_001002190	ENSDARG00000114876	ENSDART00000192113
NM_001002190	ENSDARG00000116965	ENSDART00000190232
NM_001002191	ENSDARG00000043705	ENSDART00000169961
NM_001002192	ENSDARG00000057714	ENSDART00000166058
NM_001002193	ENSDARG00000041599	ENSDART00000010452
NM_001002193	ENSDARG00000110489	ENSDART00000185395
NM_001002194	ENSDARG00000038500	ENSDART00000056180
NM_001002194	ENSDARG00000117114	ENSDART00000178154
NM_001002195	ENSDARG00000044044	ENSDART00000064662
NM_001002195	ENSDARG00000110241	ENSDART00000185951
NM_001002196	ENSDARG00000024112	ENSDART00000178966
NM_001002197	ENSDARG00000036878	ENSDART00000053546
NM_001002198	ENSDARG00000068983	ENSDART00000099990
NM_001002199	ENSDARG00000099222	ENSDART00000167468
NM_001002200	ENSDARG00000028379	ENSDART00000134293
NM_001002201	ENSDARG00000008170	ENSDART00000025691
NM_001002202	ENSDARG00000057632	ENSDART00000080343
NM_001002203	ENSDARG00000042660	ENSDART00000128149
NM_001002203	ENSDARG00000113504	ENSDART00000181701
NM_001002204	ENSDARG00000058306	ENSDART00000081154
NM_001002204	ENSDARG00000113879	ENSDART00000188687
NM_001002205	ENSDARG00000054300	ENSDART00000076478
NM_001002205	ENSDARG00000116842	ENSDART00000186303
NM_001002206	ENSDARG00000057169	ENSDART00000147063
NM_001002207	ENSDARG00000004687	ENSDART00000007997
NM_001002208	ENSDARG00000011926	ENSDART00000031658
NM_001002209	ENSDARG00000112165	ENSDART00000183882
NM_001002210	ENSDARG00000020158	ENSDART00000017605
NM_001002211	ENSDARG00000057672	ENSDART00000135341
NM_001002212	ENSDARG00000100691	ENSDART00000170157
NM_001002212	ENSDARG00000109353	ENSDART00000192199
NM_001002213	ENSDARG00000036924	ENSDART00000169574
NM_001002215	ENSDARG00000022165	ENSDART00000132286
NM_001002215	ENSDARG00000110212	ENSDART00000182655
NM_001002216	ENSDARG00000104571	ENSDART00000162993
NM_001002216	ENSDARG00000110532	ENSDART00000186414
NM_001002217	ENSDARG00000043722	ENSDART00000064204
NM_001002218	ENSDARG00000087188	ENSDART00000127604
NM_001002219	ENSDARG00000032831	ENSDART00000048136
NM_001002219	ENSDARG00000111829	ENSDART00000188628
NM_001002220	ENSDARG00000041363	ENSDART00000060635
NM_001002221	ENSDARG00000018658	ENSDART00000014152
NM_001002222	ENSDARG00000018110	ENSDART00000009545
NM_001002223	ENSDARG00000010957	ENSDART00000126428
NM_001002224	ENSDARG00000068691	ENSDART00000099446
NM_001002224	ENSDARG00000116087	ENSDART00000189575
NM_001002225	ENSDARG00000016769	ENSDART00000020665
NM_001002226	ENSDARG00000026198	ENSDART00000031165
NM_001002226	ENSDARG00000111634	ENSDART00000180768
NM_001002226	ENSDARG00000114318	ENSDART00000187832
NM_001002227	ENSDARG00000017884	ENSDART00000027225
NM_001002228	ENSDARG00000036541	ENSDART00000053095
NM_001002229	ENSDARG00000105185	ENSDART00000168723
NM_001002230	ENSDARG00000104643	ENSDART00000171267
NM_001002297	ENSDARG00000006219	ENSDART00000122953
NM_001002298	ENSDARG00000018190	ENSDART00000007079
NM_001002299	ENSDARG00000101081	ENSDART00000161729
NM_001002300	ENSDARG00000028542	ENSDART00000029719
NM_001002300	ENSDARG00000111053	ENSDART00000190364
NM_001002301	ENSDARG00000006288	ENSDART00000127443
NM_001002302	ENSDARG00000054224	ENSDART00000138268
NM_001002303	ENSDARG00000020427	ENSDART00000134543
NM_001002304	ENSDARG00000011661	ENSDART00000015134
NM_001002305	ENSDARG00000102123	ENSDART00000166826
NM_001002306	ENSDARG00000020015	ENSDART00000048675
NM_001002307	ENSDARG00000093774	ENSDART00000048838
NM_001002307	ENSDARG00000112080	ENSDART00000191383
NM_001002308	ENSDARG00000044276	ENSDART00000101261
NM_001002309	ENSDARG00000038612	ENSDART00000056375
NM_001002309	ENSDARG00000116391	ENSDART00000183524
NM_001002309	ENSDARG00000116607	ENSDART00000191761
NM_001002310	ENSDARG00000014098	ENSDART00000020412
NM_001002311	ENSDARG00000053318	ENSDART00000132346
NM_001002312	ENSDARG00000041870	ENSDART00000061334
NM_001002313	ENSDARG00000007444	ENSDART00000004288
NM_001002314	ENSDARG00000055493	ENSDART00000077853
NM_001002315	ENSDARG00000013705	ENSDART00000003834
NM_001002316	ENSDARG00000008490	ENSDART00000010543
NM_001002317	ENSDARG00000076509	ENSDART00000108718
NM_001002318	ENSDARG00000026484	ENSDART00000049462
NM_001002319	ENSDARG00000044492	ENSDART00000065341
NM_001002319	ENSDARG00000111451	ENSDART00000186484
NM_001002320	ENSDARG00000045421	ENSDART00000066789
NM_001002321	ENSDARG00000008480	ENSDART00000003517
NM_001002322	ENSDARG00000051921	ENSDART00000073634
NM_001002323	ENSDARG00000058728	ENSDART00000081661
NM_001002324	ENSDARG00000105134	ENSDART00000168546
NM_001002324	ENSDARG00000110259	ENSDART00000190868
NM_001002324	ENSDARG00000116301	ENSDART00000180087
NM_001002325	ENSDARG00000018069	ENSDART00000137315
NM_001002326	ENSDARG00000037655	ENSDART00000054849
NM_001002327	ENSDARG00000037363	ENSDART00000113313
NM_001002327	ENSDARG00000112276	ENSDART00000192688
NM_001002328	ENSDARG00000046098	ENSDART00000019045
NM_001002329	ENSDARG00000023703	ENSDART00000031872
NM_001002329	ENSDARG00000116734	ENSDART00000193279
NM_001002330	ENSDARG00000029215	ENSDART00000156897
NM_001002331	ENSDARG00000052099	ENSDART00000073881
NM_001002332	ENSDARG00000007024	ENSDART00000146940
NM_001002333	ENSDARG00000025033	ENSDART00000037749
NM_001002333	ENSDARG00000112598	ENSDART00000193317
NM_001002334	ENSDARG00000068883	ENSDART00000099776
NM_001002335	ENSDARG00000038066	ENSDART00000055490
NM_001002336	ENSDARG00000028082	ENSDART00000145966
NM_001002337	ENSDARG00000036764	ENSDART00000053380
NM_001002338	ENSDARG00000102020	ENSDART00000169823
NM_001002339	ENSDARG00000018627	ENSDART00000007392
NM_001002339	ENSDARG00000117003	ENSDART00000182686
NM_001002340	ENSDARG00000036376	ENSDART00000052844
NM_001002340	ENSDARG00000111721	ENSDART00000190401
NM_001002340	ENSDARG00000115826	ENSDART00000192390
NM_001002341	ENSDARG00000043640	ENSDART00000064080
NM_001002342	ENSDARG00000024184	ENSDART00000007053
NM_001002342	ENSDARG00000110086	ENSDART00000185595
NM_001002343	ENSDARG00000038668	ENSDART00000056460
NM_001002345	ENSDARG00000004697	ENSDART00000002554
NM_001002346	ENSDARG00000040338	ENSDART00000059028
NM_001002347	ENSDARG00000005525	ENSDART00000004233
NM_001002348	ENSDARG00000089354	ENSDART00000174126
NM_001002349	ENSDARG00000007086	ENSDART00000124718
NM_001002349	ENSDARG00000112181	ENSDART00000161909
NM_001002350	ENSDARG00000099344	ENSDART00000160162
NM_001002351	ENSDARG00000012563	ENSDART00000012232
NM_001002352	ENSDARG00000104340	ENSDART00000160671
NM_001002352	ENSDARG00000111655	ENSDART00000182147
NM_001002353	ENSDARG00000004680	ENSDART00000019417
NM_001002354	ENSDARG00000043684	ENSDART00000064144
NM_001002355	ENSDARG00000013776	ENSDART00000046670
NM_001002356	ENSDARG00000027813	ENSDART00000034054
NM_001002357	ENSDARG00000040254	ENSDART00000058888
NM_001002358	ENSDARG00000029596	ENSDART00000047055
NM_001002359	ENSDARG00000075766	ENSDART00000046802
NM_001002360	ENSDARG00000015856	ENSDART00000021145
NM_001002361	ENSDARG00000016343	ENSDART00000152684
NM_001002362	ENSDARG00000029168	ENSDART00000126641
NM_001002363	ENSDARG00000032639	ENSDART00000050753
NM_001002364	ENSDARG00000023214	ENSDART00000128250
NM_001002364	ENSDARG00000111189	ENSDART00000183886
NM_001002365	ENSDARG00000004587	ENSDART00000032909
NM_001002366	ENSDARG00000023443	ENSDART00000092355
NM_001002367	ENSDARG00000021250	ENSDART00000040955
NM_001002368	ENSDARG00000003902	ENSDART00000017756
NM_001002369	ENSDARG00000016649	ENSDART00000014871
NM_001002370	ENSDARG00000038567	ENSDART00000056303
NM_001002371	ENSDARG00000006838	ENSDART00000010119
NM_001002371	ENSDARG00000111569	ENSDART00000180145
NM_001002372	ENSDARG00000055185	ENSDART00000077503
NM_001002373	ENSDARG00000057630	ENSDART00000080339
NM_001002373	ENSDARG00000111113	ENSDART00000181386
NM_001002373	ENSDARG00000115399	ENSDART00000184311
NM_001002374	ENSDARG00000053485	ENSDART00000075520
NM_001002375	ENSDARG00000004343	ENSDART00000148877
NM_001002376	ENSDARG00000071005	ENSDART00000128073
NM_001002377	ENSDARG00000111759	ENSDART00000186382
NM_001002378	ENSDARG00000031776	ENSDART00000044238
NM_001002379	ENSDARG00000005565	ENSDART00000011245
NM_001002380	ENSDARG00000021048	ENSDART00000004585
NM_001002382	ENSDARG00000101877	ENSDART00000158887
NM_001002383	ENSDARG00000000212	ENSDART00000105808
NM_001002384	ENSDARG00000028971	ENSDART00000047212
NM_001002385	ENSDARG00000023495	ENSDART00000025183
NM_001002386	ENSDARG00000103799	ENSDART00000162553
NM_001002387	ENSDARG00000007221	ENSDART00000021788
NM_001002389	ENSDARG00000019613	ENSDART00000017402
NM_001002390	ENSDARG00000104871	ENSDART00000167000
NM_001002391	ENSDARG00000021154	ENSDART00000134292
NM_001002392	ENSDARG00000014356	ENSDART00000041533
NM_001002392	ENSDARG00000112424	ENSDART00000189405
NM_001002392	ENSDARG00000112655	ENSDART00000185421
NM_001002393	ENSDARG00000026892	ENSDART00000034541
NM_001002394	ENSDARG00000017385	ENSDART00000008099
NM_001002395	ENSDARG00000020814	ENSDART00000012023
NM_001002396	ENSDARG00000006747	ENSDART00000036779
NM_001002397	ENSDARG00000038693	ENSDART00000056514
NM_001002398	ENSDARG00000093448	ENSDART00000137572
NM_001002399	ENSDARG00000010555	ENSDART00000018420
NM_001002399	ENSDARG00000114832	ENSDART00000190286
NM_001002400	ENSDARG00000037921	ENSDART00000055269
NM_001002401	ENSDARG00000019222	ENSDART00000010862
NM_001002402	ENSDARG00000025340	ENSDART00000105835
NM_001002403	ENSDARG00000023861	ENSDART00000034092
NM_001002404	ENSDARG00000100944	ENSDART00000162227
NM_001002404	ENSDARG00000110094	ENSDART00000184719
NM_001002405	ENSDARG00000056511	ENSDART00000078996
NM_001002405	ENSDARG00000114648	ENSDART00000181355
NM_001002406	ENSDARG00000044532	ENSDART00000065385
NM_001002407	ENSDARG00000015445	ENSDART00000144923
NM_001002408	ENSDARG00000057460	ENSDART00000101928
NM_001002409	ENSDARG00000045930	ENSDART00000067514
NM_001002410	ENSDARG00000041141	ENSDART00000146657
NM_001002411	ENSDARG00000055536	ENSDART00000077897
NM_001002412	ENSDARG00000003642	ENSDART00000013093
NM_001002414	ENSDARG00000033411	ENSDART00000122682
NM_001002415	ENSDARG00000055433	ENSDART00000077785
NM_001002416	ENSDARG00000045420	ENSDART00000066788
NM_001002417	ENSDARG00000008020	ENSDART00000124416
NM_001002418	ENSDARG00000039719	ENSDART00000058056
NM_001002418	ENSDARG00000117175	ENSDART00000189708
NM_001002419	ENSDARG00000038422	ENSDART00000056074
NM_001002420	ENSDARG00000090183	ENSDART00000112854
NM_001002420	ENSDARG00000113177	ENSDART00000182049
NM_001002421	ENSDARG00000003373	ENSDART00000012212
NM_001002422	ENSDARG00000015161	ENSDART00000101120
NM_001002423	ENSDARG00000041170	ENSDART00000060344
NM_001002423	ENSDARG00000117041	ENSDART00000186553
NM_001002424	ENSDARG00000026907	ENSDART00000031638
NM_001002425	ENSDARG00000016594	ENSDART00000022132
NM_001002426	ENSDARG00000092792	ENSDART00000167761
NM_001002426	ENSDARG00000116505	ENSDART00000189224
NM_001002427	ENSDARG00000070046	ENSDART00000102482
NM_001002428	ENSDARG00000076334	ENSDART00000111486
NM_001002429	ENSDARG00000041600	ENSDART00000060978
NM_001002429	ENSDARG00000115089	ENSDART00000185107
NM_001002430	ENSDARG00000040644	ENSDART00000059508
NM_001002431	ENSDARG00000038859	ENSDART00000056735
NM_001002433	ENSDARG00000031293	ENSDART00000044150
NM_001002433	ENSDARG00000111989	ENSDART00000187092
NM_001002434	ENSDARG00000040178	ENSDART00000058774
NM_001002435	ENSDARG00000029724	ENSDART00000049230
NM_001002436	ENSDARG00000006300	ENSDART00000012918
NM_001002437	ENSDARG00000004358	ENSDART00000012673
NM_001002437	ENSDARG00000113470	ENSDART00000191122
NM_001002438	ENSDARG00000004427	ENSDART00000024743
